Crime_Type,Charges_Filed,Time_Served_Months,Prior_Criminal_History,Risk_of_Flight,Influence_on_Trial,Bail_Decision,Socio_Economic_Status
Cyber Crime,"['IPC 379', 'IPC 307', 'IPC 302']",33,0,0.9456735370508046,0.11567522364811655,Rejected,Low
Drug-related,"['Narcotics Act', 'Narcotics Act']",7,0,0.408927235756672,0.946264493003082,Granted,Low
Economic,['Cyber Laws'],41,0,0.6619698394506341,0.7333615147320935,Granted,High
Drug-related,['IPC 307'],8,0,0.4648547808132707,0.6374988029341632,Granted,High
Drug-related,"['Economic Offenses Act', 'Narcotics Act', 'IPC 307']",37,1,0.6305886973085435,0.6452777553235629,Granted,Low
Non-violent,"['IPC 307', 'Cyber Laws', 'Narcotics Act']",10,0,0.44959890600773733,0.8267276483962821,Rejected,High
Economic,"['IPC 302', 'IPC 302', 'IPC 379']",43,1,0.18863224642407483,0.10691986437982137,Rejected,Middle
Economic,"['IPC 420', 'Cyber Laws', 'IPC 379']",15,0,0.5078974160033809,0.5047543235655417,Rejected,Middle
Economic,"['Cyber Laws', 'IPC 307']",38,1,0.5285842014374423,0.6970911382607585,Granted,Middle
Drug-related,"['Narcotics Act', 'Cyber Laws', 'IPC 420']",15,0,0.8106038482601611,0.5868204450735637,Granted,High
Cyber Crime,['IPC 302'],5,1,0.7355207057935812,0.8327790710232946,Granted,Low
Economic,"['IPC 302', 'IPC 302', 'IPC 379']",29,0,0.6637916239414441,0.07227170901135149,Granted,Low
Drug-related,"['IPC 302', 'Economic Offenses Act']",19,0,0.11338709555257254,0.690701039499166,Rejected,Low
Non-violent,['IPC 302'],10,0,0.720616290663715,0.5340277303847177,Granted,High
Cyber Crime,"['IPC 420', 'Narcotics Act']",12,0,0.5003051563545148,0.3791608639799434,Granted,High
Non-violent,"['Narcotics Act', 'Cyber Laws', 'IPC 307']",4,1,0.8940995361061592,0.34027498223403085,Rejected,Middle
Cyber Crime,"['Cyber Laws', 'IPC 420', 'Narcotics Act']",31,0,0.9198709341305428,0.6208326327741929,Rejected,High
Drug-related,"['IPC 379', 'Cyber Laws']",18,1,0.05515659060178546,0.8909953746442648,Rejected,Middle
Violent,"['IPC 307', 'Economic Offenses Act']",16,0,0.8206415603544788,0.49617592610111527,Granted,Middle
Cyber Crime,"['Cyber Laws', 'IPC 302']",40,1,0.03769739042267062,0.8247231640769201,Granted,Low
Non-violent,"['IPC 307', 'Economic Offenses Act', 'Cyber Laws']",36,0,0.36716962569502265,0.4021563818439675,Granted,High
Drug-related,"['IPC 420', 'IPC 307']",25,0,0.5422999756210791,0.10239446279317654,Granted,Low
Cyber Crime,['Narcotics Act'],23,1,0.14810079862712744,0.06150573645863855,Granted,Low
Violent,['Economic Offenses Act'],12,0,0.7463138125690768,0.051334371323677574,Granted,High
Violent,"['IPC 302', 'Economic Offenses Act', 'IPC 307']",34,0,0.008354704172138572,0.38015014195766994,Rejected,High
Economic,"['Cyber Laws', 'IPC 302']",36,1,0.16859904843403684,0.33723775083584207,Granted,Middle
Economic,"['IPC 420', 'IPC 302', 'IPC 420']",37,0,0.5807968298534757,0.7179370236225695,Rejected,Middle
Non-violent,"['Cyber Laws', 'Narcotics Act', 'Economic Offenses Act']",3,1,0.7143875620372924,0.7428215015848658,Rejected,Middle
