,Crime_Type,Charges_Filed,Time_Served_Months,Prior_Criminal_History,Risk_of_Flight,Influence_on_Trial,Bail_Decision,Socio_Economic_Status
0,Cyber Crime,"['IPC 379', 'IPC 307', 'IPC 302']",33,0,0.9456735370508046,0.1156752236481165,Rejected,Low
1,Drug-related,"['Narcotics Act', 'Narcotics Act']",7,0,0.408927235756672,0.946264493003082,Granted,Low
2,Economic,['Cyber Laws'],41,0,0.6619698394506341,0.7333615147320935,Granted,High
3,Drug-related,['IPC 307'],8,0,0.4648547808132707,0.6374988029341632,Granted,High
4,Drug-related,"['Economic Offenses Act', 'Narcotics Act', 'IPC 307']",37,1,0.6305886973085435,0.6452777553235629,Granted,Low
5,Non-violent,"['IPC 307', 'Cyber Laws', 'Narcotics Act']",10,0,0.4495989060077373,0.8267276483962821,Rejected,High
6,Economic,"['IPC 302', 'IPC 302', 'IPC 379']",43,1,0.1886322464240748,0.1069198643798213,Rejected,Middle
7,Economic,"['IPC 420', 'Cyber Laws', 'IPC 379']",15,0,0.5078974160033809,0.5047543235655417,Rejected,Middle
8,Economic,"['Cyber Laws', 'IPC 307']",38,1,0.5285842014374423,0.6970911382607585,Granted,Middle
9,Drug-related,"['Narcotics Act', 'Cyber Laws', 'IPC 420']",15,0,0.8106038482601611,0.5868204450735637,Granted,High
10,Cyber Crime,['IPC 302'],5,1,0.7355207057935812,0.8327790710232946,Granted,Low
11,Economic,"['IPC 302', 'IPC 302', 'IPC 379']",29,0,0.6637916239414441,0.0722717090113514,Granted,Low
12,Drug-related,"['IPC 302', 'Economic Offenses Act']",19,0,0.1133870955525725,0.690701039499166,Rejected,Low
13,Non-violent,['IPC 302'],10,0,0.720616290663715,0.5340277303847177,Granted,High
14,Cyber Crime,"['IPC 420', 'Narcotics Act']",12,0,0.5003051563545148,0.3791608639799434,Granted,High
15,Non-violent,"['Narcotics Act', 'Cyber Laws', 'IPC 307']",4,1,0.8940995361061592,0.3402749822340308,Rejected,Middle
16,Cyber Crime,"['Cyber Laws', 'IPC 420', 'Narcotics Act']",31,0,0.9198709341305428,0.6208326327741929,Rejected,High
17,Drug-related,"['IPC 379', 'Cyber Laws']",18,1,0.0551565906017854,0.8909953746442648,Rejected,Middle
18,Violent,"['IPC 307', 'Economic Offenses Act']",16,0,0.8206415603544788,0.4961759261011152,Granted,Middle
19,Cyber Crime,"['Cyber Laws', 'IPC 302']",40,1,0.0376973904226706,0.8247231640769201,Granted,Low
20,Non-violent,"['IPC 307', 'Economic Offenses Act', 'Cyber Laws']",36,0,0.3671696256950226,0.4021563818439675,Granted,High
21,Drug-related,"['IPC 420', 'IPC 307']",25,0,0.5422999756210791,0.1023944627931765,Granted,Low
22,Cyber Crime,['Narcotics Act'],23,1,0.1481007986271274,0.0615057364586385,Granted,Low
23,Violent,['Economic Offenses Act'],12,0,0.7463138125690768,0.0513343713236775,Granted,High
24,Violent,"['IPC 302', 'Economic Offenses Act', 'IPC 307']",34,0,0.0083547041721385,0.3801501419576699,Rejected,High
25,Economic,"['Cyber Laws', 'IPC 302']",36,1,0.1685990484340368,0.337237750835842,Granted,Middle
26,Economic,"['IPC 420', 'IPC 302', 'IPC 420']",37,0,0.5807968298534757,0.7179370236225695,Rejected,Middle
27,Non-violent,"['Cyber Laws', 'Narcotics Act', 'Economic Offenses Act']",3,1,0.7143875620372924,0.7428215015848658,Rejected,Middle
28,Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 420']",9,0,0.916643102693916,0.0508539688337398,Rejected,Middle
29,Cyber Crime,['IPC 302'],18,1,0.7054966519346239,0.2211232628890149,Granted,Low
30,Economic,"['Narcotics Act', 'IPC 420']",43,1,0.671779270254866,0.2742618501588997,Granted,Low
31,Cyber Crime,"['Cyber Laws', 'IPC 307']",35,1,0.3943411463506643,0.5476119841428094,Rejected,High
32,Cyber Crime,"['IPC 302', 'Narcotics Act', 'IPC 420']",34,1,0.0012844255268014,0.1445152239069502,Granted,Middle
33,Violent,"['IPC 420', 'IPC 307']",41,0,0.1201592587356219,0.1339412194000003,Granted,Middle
34,Economic,['Cyber Laws'],14,0,0.5345545447560391,0.943788889207958,Rejected,Middle
35,Drug-related,['Economic Offenses Act'],4,1,0.6751298858444197,0.804202907297781,Granted,Low
36,Economic,"['Narcotics Act', 'IPC 307']",29,0,0.4174482838964625,0.1806549020911703,Granted,High
37,Drug-related,['Narcotics Act'],41,0,0.7306790115283902,0.4065678079054909,Granted,Low
38,Violent,"['IPC 379', 'IPC 302']",45,0,0.5218622953321788,0.3556219992575655,Granted,High
39,Non-violent,['IPC 302'],15,1,0.0741761955943122,0.7910040740654073,Rejected,High
40,Cyber Crime,"['IPC 379', 'IPC 420', 'Cyber Laws']",28,0,0.1920162509679488,0.5102129164781221,Rejected,Low
41,Violent,"['IPC 307', 'IPC 420', 'IPC 307']",42,0,0.8399982232439429,0.127849736993467,Granted,Low
42,Cyber Crime,"['Cyber Laws', 'IPC 379', 'Cyber Laws']",16,1,0.7249127466244395,0.7389920631562439,Granted,High
43,Non-violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 420']",12,0,0.894761987012495,0.3968879782249189,Granted,Low
44,Non-violent,['IPC 420'],5,1,0.1175572491209365,0.262924247632147,Rejected,Low
45,Violent,"['IPC 420', 'Economic Offenses Act']",34,1,0.990222534615074,0.3754986220207201,Granted,High
46,Non-violent,['IPC 307'],42,1,0.2094067139499336,0.4977565636068963,Granted,High
47,Drug-related,"['IPC 307', 'Narcotics Act']",1,0,0.011779876286642,0.3431155164170094,Rejected,Middle
48,Non-violent,"['Cyber Laws', 'IPC 307', 'Cyber Laws']",39,0,0.9974229390535542,0.2419057725917578,Granted,Low
49,Cyber Crime,"['Cyber Laws', 'IPC 379']",32,1,0.2810738854451131,0.3985020288039803,Rejected,High
50,Cyber Crime,"['IPC 420', 'Cyber Laws', 'IPC 302']",26,1,0.6680194525125599,0.0191729107498982,Granted,Low
51,Cyber Crime,"['Narcotics Act', 'IPC 379', 'IPC 307']",17,1,0.1766823141763052,0.7724978460963139,Rejected,Low
52,Cyber Crime,"['IPC 307', 'IPC 379', 'IPC 307']",27,1,0.5802285321991417,0.1709448935675858,Granted,High
53,Drug-related,"['IPC 420', 'IPC 307']",24,1,0.9040349864545592,0.0439046136306372,Granted,Middle
54,Economic,"['IPC 302', 'IPC 307']",35,1,0.3201811674284386,0.6536986929050792,Rejected,High
55,Violent,['Narcotics Act'],46,0,0.6702539760443592,0.7739361288236722,Rejected,High
56,Cyber Crime,"['IPC 302', 'IPC 420']",42,1,0.1879035887984165,0.8138291315928432,Rejected,Low
57,Non-violent,"['Cyber Laws', 'IPC 302', 'Cyber Laws']",39,1,0.6247953987187252,0.4935091826605999,Rejected,Middle
58,Cyber Crime,"['Cyber Laws', 'Narcotics Act']",26,1,0.3364503518175101,0.2053681846899853,Rejected,High
59,Non-violent,"['IPC 379', 'IPC 302', 'Cyber Laws']",38,0,0.2112082585879516,0.7372276772498267,Granted,Low
60,Non-violent,['Narcotics Act'],23,0,0.3131820507036351,0.6997130771543372,Rejected,High
61,Cyber Crime,['IPC 307'],22,0,0.1788410685077993,0.2462707341031732,Rejected,Low
62,Drug-related,['IPC 307'],4,0,0.9019161078378828,0.903407755862793,Rejected,High
63,Non-violent,['Economic Offenses Act'],9,1,0.3971868863171288,0.104371458082829,Rejected,Middle
64,Non-violent,['IPC 420'],4,0,0.2452793049743673,0.9826882395913256,Granted,High
65,Cyber Crime,['Economic Offenses Act'],7,1,0.4484078410159329,0.8602478109774646,Granted,Low
66,Non-violent,"['IPC 420', 'IPC 307']",23,1,0.3205361668064955,0.6878986454790752,Granted,High
67,Non-violent,['IPC 420'],2,1,0.744419253813326,0.9387498882798327,Granted,Middle
68,Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 379']",24,1,0.9712199118854944,0.7223111683237078,Granted,Middle
69,Cyber Crime,"['IPC 307', 'IPC 420']",40,1,0.4380336566976468,0.1904569970300459,Rejected,Middle
70,Violent,"['IPC 379', 'Economic Offenses Act', 'IPC 379']",31,1,0.8610333999722404,0.4421561381128117,Granted,Middle
71,Drug-related,['IPC 379'],47,0,0.5658630735596195,0.0715030243316353,Granted,Low
72,Drug-related,"['IPC 307', 'IPC 302']",31,0,0.1572356650942334,0.3896574222881154,Rejected,High
73,Non-violent,"['Cyber Laws', 'IPC 379']",47,0,0.6906227420813416,0.7416030197372087,Rejected,Middle
74,Drug-related,"['Narcotics Act', 'Economic Offenses Act']",40,0,0.5134344971258201,0.3864433509308174,Granted,High
75,Non-violent,"['IPC 302', 'Economic Offenses Act', 'IPC 379']",43,0,0.6506065232521034,0.3302941754681341,Granted,Low
76,Violent,['IPC 379'],34,1,0.889687412571665,0.5953557225103119,Rejected,High
77,Cyber Crime,['IPC 302'],24,0,0.4404345706560461,0.872204528998895,Granted,High
78,Cyber Crime,"['Cyber Laws', 'IPC 379']",26,0,0.9011776232173556,0.0475831925461124,Rejected,Middle
79,Cyber Crime,"['IPC 420', 'IPC 302', 'IPC 420']",16,0,0.7506690142816549,0.3854704346997354,Rejected,Middle
80,Drug-related,"['IPC 302', 'Narcotics Act', 'Economic Offenses Act']",47,1,0.4886049258779847,0.1582407418152627,Granted,Low
81,Violent,['IPC 420'],13,1,0.6032221356579637,0.6953542507318696,Granted,High
82,Drug-related,"['Economic Offenses Act', 'IPC 307']",15,1,0.3255811325190114,0.1057245604311348,Granted,Low
83,Drug-related,"['Narcotics Act', 'IPC 420', 'Economic Offenses Act']",27,0,0.9835972997387742,0.6648077585802445,Rejected,Low
84,Violent,"['Narcotics Act', 'IPC 379']",4,0,0.667351163050396,0.2861808707979073,Rejected,Low
85,Violent,"['IPC 379', 'IPC 420', 'Cyber Laws']",16,0,0.0438468524966298,0.1989168137372247,Granted,Middle
86,Violent,"['Economic Offenses Act', 'Narcotics Act']",30,0,0.3266219057480087,0.9363525578249854,Granted,Middle
87,Violent,['Cyber Laws'],44,0,0.6233144337590575,0.0185245767459558,Granted,High
88,Cyber Crime,['Cyber Laws'],30,1,0.0563332777992398,0.4377772718895689,Rejected,High
89,Economic,"['IPC 307', 'Cyber Laws', 'IPC 379']",36,0,0.0238841913191427,0.0216269924617937,Rejected,High
90,Economic,['Cyber Laws'],3,1,0.4500242395278025,0.483593048104329,Rejected,Middle
91,Violent,"['Economic Offenses Act', 'Narcotics Act']",22,0,0.33269017969267,0.5010473777944182,Granted,Middle
92,Economic,"['Economic Offenses Act', 'IPC 307']",22,1,0.4382986080331659,0.321662471394747,Rejected,Low
93,Economic,"['Narcotics Act', 'IPC 302', 'Narcotics Act']",12,1,0.2626933098800051,0.1321617775250236,Rejected,Middle
94,Violent,['IPC 307'],21,1,0.1647177469429809,0.3763875377344753,Granted,Low
95,Economic,"['Narcotics Act', 'Narcotics Act']",4,1,0.6891433569803377,0.672262939932566,Rejected,Low
96,Drug-related,['IPC 307'],31,0,0.5145711162678005,0.7823958086444591,Granted,Middle
97,Non-violent,['Narcotics Act'],44,0,0.2001542112493668,0.5307506023881423,Rejected,Low
98,Non-violent,['IPC 379'],31,0,0.3195894262599983,0.5898343944397556,Granted,Low
99,Violent,['IPC 420'],23,1,0.5918079076633259,0.2006163711246527,Granted,High
100,Cyber Crime,"['Economic Offenses Act', 'Narcotics Act', 'IPC 420']",20,0,0.0722293482724778,0.2873303332276494,Rejected,Low
101,Violent,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",15,0,0.1474530092661795,0.1618956100523584,Granted,Middle
102,Cyber Crime,"['IPC 420', 'IPC 420']",23,0,0.0732456041073901,0.2492953500046113,Rejected,Middle
103,Non-violent,"['IPC 379', 'IPC 302']",28,0,0.8123173327141189,0.2248867802255317,Granted,Low
104,Violent,['IPC 420'],16,1,0.7524092332120093,0.5194487863912376,Granted,High
105,Drug-related,['Cyber Laws'],37,1,0.7533129318792571,0.5626887557907294,Granted,Middle
106,Economic,"['Narcotics Act', 'IPC 307']",21,0,0.716325343476028,0.9449474208215044,Rejected,Middle
107,Cyber Crime,['IPC 302'],15,0,0.6693854236698692,0.195570647101523,Granted,High
108,Economic,['IPC 302'],17,0,0.476991915378175,0.6416757101614959,Granted,Low
109,Economic,['IPC 302'],37,1,0.642278163507115,0.8172592689875229,Rejected,Middle
110,Violent,['IPC 307'],13,1,0.0383615547879746,0.5602414637830525,Granted,Low
111,Economic,['IPC 302'],19,1,0.6214644226567846,0.2550036525010757,Granted,Low
112,Drug-related,"['IPC 307', 'IPC 307']",30,0,0.7778777055368772,0.2625502300200002,Granted,Low
113,Economic,['IPC 420'],45,1,0.5003583603843902,0.0392530530709999,Granted,Low
114,Violent,"['Economic Offenses Act', 'IPC 307', 'IPC 379']",18,1,0.3575133284272369,0.3054442265484817,Rejected,Middle
115,Drug-related,"['IPC 302', 'Economic Offenses Act']",14,1,0.2774267348009791,0.7446036790033801,Granted,High
116,Non-violent,['IPC 420'],36,1,0.6428020501620825,0.0475177572071103,Granted,Middle
117,Economic,"['Narcotics Act', 'IPC 379', 'Narcotics Act']",36,1,0.6928011986299087,0.2192952825048306,Rejected,High
118,Violent,['Economic Offenses Act'],20,0,0.8709675998625426,0.7062324985317819,Granted,Low
119,Non-violent,['Narcotics Act'],19,0,0.3423340824609907,0.7826515628228766,Granted,High
120,Non-violent,['Economic Offenses Act'],45,0,0.7697723073855856,0.4553184100619284,Rejected,Low
121,Cyber Crime,"['IPC 302', 'Narcotics Act', 'IPC 379']",44,0,0.5613558241893379,0.6980743384786489,Rejected,Middle
122,Drug-related,"['IPC 302', 'Narcotics Act', 'IPC 420']",7,1,0.8828364906780791,0.387952168654892,Rejected,Middle
123,Economic,['IPC 307'],44,0,0.5278121082956208,0.1599132450241275,Rejected,High
124,Violent,"['Cyber Laws', 'IPC 420', 'IPC 379']",4,0,0.5176298283979672,0.3981494935229065,Granted,Low
125,Cyber Crime,"['IPC 379', 'Economic Offenses Act', 'IPC 379']",34,0,0.5778770814409091,0.5799678202031429,Rejected,Low
126,Drug-related,"['IPC 379', 'IPC 307', 'Narcotics Act']",2,1,0.7493153551424344,0.9480532818528904,Granted,High
127,Cyber Crime,['Cyber Laws'],5,0,0.9646904788284608,0.0687509520886773,Rejected,Low
128,Drug-related,"['IPC 307', 'Cyber Laws']",10,1,0.0735633542157656,0.5073940938449606,Granted,Low
129,Drug-related,"['IPC 420', 'IPC 302', 'Economic Offenses Act']",32,1,0.0534346023910171,0.3289197782107244,Rejected,Low
130,Economic,['IPC 302'],42,1,0.9375503374073384,0.5083116942766945,Rejected,Middle
131,Drug-related,"['Economic Offenses Act', 'IPC 307']",41,0,0.5298756255182061,0.0239754473765316,Granted,Middle
132,Cyber Crime,"['IPC 302', 'IPC 420', 'Cyber Laws']",13,1,0.6149030145669361,0.3130253547015813,Rejected,Middle
133,Drug-related,"['IPC 302', 'IPC 302']",39,0,0.4824236015947288,0.819868147527005,Rejected,Low
134,Economic,['IPC 307'],5,0,0.0936574526074744,0.5539417338546375,Rejected,Middle
135,Economic,"['Cyber Laws', 'Economic Offenses Act', 'IPC 307']",10,0,0.7680893784186665,0.4505824928161174,Granted,Low
136,Cyber Crime,"['Narcotics Act', 'IPC 420']",10,1,0.7472246450885869,0.2855250717153396,Rejected,Low
137,Non-violent,"['IPC 307', 'Cyber Laws', 'Narcotics Act']",38,1,0.311703321492812,0.2980425227913559,Rejected,High
138,Non-violent,['Economic Offenses Act'],27,0,0.3062392452284004,0.3831014335905844,Granted,Low
139,Drug-related,"['IPC 379', 'IPC 307']",21,1,0.8378413809055185,0.8355707099645604,Granted,Middle
140,Violent,"['IPC 302', 'IPC 307', 'Economic Offenses Act']",8,1,0.0723572577413266,0.9672132068082684,Rejected,Middle
141,Drug-related,['IPC 302'],1,1,0.8811051483565658,0.4386553813503745,Granted,Low
142,Cyber Crime,"['Cyber Laws', 'IPC 420', 'IPC 307']",28,0,0.2566616898959144,0.3933528387477618,Granted,Middle
143,Cyber Crime,['IPC 307'],39,1,0.5929847477554939,0.8465507758198628,Granted,Low
144,Cyber Crime,"['IPC 420', 'Cyber Laws']",14,1,0.9359941790017776,0.4269053206363036,Rejected,High
145,Cyber Crime,['IPC 420'],21,0,0.6781225015366464,0.5520181722956512,Rejected,Low
146,Cyber Crime,"['Cyber Laws', 'IPC 302', 'Narcotics Act']",30,1,0.4144298124670366,0.2309416645987444,Granted,Low
147,Economic,"['IPC 307', 'Cyber Laws', 'Economic Offenses Act']",21,0,0.6895342089054152,0.7435025357790752,Rejected,High
148,Non-violent,"['IPC 302', 'IPC 420', 'IPC 302']",9,1,0.3439796363163702,0.5319883182707819,Granted,Middle
149,Cyber Crime,"['IPC 307', 'Narcotics Act', 'Narcotics Act']",17,1,0.2772584163491861,0.8090345502403417,Rejected,High
150,Violent,"['Narcotics Act', 'Cyber Laws']",5,1,0.9966832779346796,0.7807327300286697,Granted,High
151,Violent,"['Cyber Laws', 'Economic Offenses Act']",31,1,0.7507902311797877,0.2150047682700285,Rejected,Low
152,Violent,"['IPC 420', 'IPC 379', 'Cyber Laws']",40,1,0.6447199773818176,0.7156355505577624,Granted,Low
153,Violent,"['IPC 379', 'IPC 302']",38,1,0.3552896432193188,0.8000544079513714,Rejected,High
154,Economic,"['IPC 420', 'Narcotics Act']",43,0,0.0491608291550481,0.3461072407823951,Rejected,Middle
155,Violent,['IPC 307'],19,1,0.0310568760351556,0.1726091129022745,Granted,High
156,Cyber Crime,"['Narcotics Act', 'Narcotics Act']",36,1,0.5541812554487988,0.0026321555795881,Rejected,Middle
157,Drug-related,"['IPC 420', 'IPC 379', 'IPC 307']",33,1,0.7620327210390511,0.4509036530931481,Rejected,High
158,Violent,"['Economic Offenses Act', 'IPC 379', 'Economic Offenses Act']",13,0,0.5373791904438551,0.3524327315388416,Rejected,High
159,Economic,['Cyber Laws'],14,0,0.8407850719391146,0.5549098338254089,Rejected,Middle
160,Economic,"['Narcotics Act', 'Narcotics Act', 'IPC 302']",33,0,0.0334265330932216,0.1880410925887857,Rejected,High
161,Violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 379']",29,1,0.3667520764259401,0.8596655476664752,Rejected,Low
